algoritmo,regiao,tamanho,threads,total_mean,total_std,int_confianca_inf,int_confianca_sup
OMP,0,16,1,0.00048,0.000322007591352888,0.000280417627142186,0.000679582372857814
OMP,0,16,2,0.024956,0.0777969526966763,-0.0232630508462076,0.0731750508462076
OMP,0,16,4,0.024101,0.0748577898343846,-0.0222963388306394,0.0704983388306394
OMP,0,16,8,0.043786,0.0747786193744947,-0.00256226847121498,0.090134268471215
OMP,0,16,16,0.032966,0.0712183996512762,-0.0111756214251941,0.0771076214251941
OMP,0,16,32,0.048555,0.14760283769103,-0.0429301866167292,0.140040186616729
OMP,0,32,1,0.000995,0.000137618635688953,0.000909703085896642,0.00108029691410336
OMP,0,32,2,0.000595,0.0000558271140814808,0.000560397996204458,0.000629602003795541
OMP,0,32,4,0.000841,0.000337423242300296,0.00063186290769503,0.00105013709230497
OMP,0,32,8,0.003795,0.00285917334595547,0.00202286600030108,0.00556713399969892
OMP,0,32,16,0.001359,0.000104184665111735,0.00129442567555307,0.00142357432444693
OMP,0,32,32,0.002078,0.000202583316193609,0.00195243755975611,0.00220356244024389
OMP,0,64,1,0.003639,0.000271925234822613,0.00347045899331814,0.00380754100668186
OMP,0,64,2,0.00201,0.000378652581897678,0.00177530869826278,0.00224469130173722
OMP,0,64,4,0.001452,0.0000812130257751523,0.00140166364512381,0.0015023363548762
OMP,0,64,8,0.00623,0.00374639382161922,0.00390796105229334,0.00855203894770666
OMP,0,64,16,0.001836,0.0000678560567999972,0.00179394238026495,0.00187805761973505
OMP,0,64,32,0.002528,0.000166453196624957,0.00242483123987046,0.00263116876012954
OMP,0,128,1,0.014796,0.000942493147632031,0.0142118366949788,0.0153801633050212
OMP,0,128,2,0.006286,0.000397693349202624,0.00603950710841892,0.00653249289158108
OMP,0,128,4,0.006254,0.00420329553247608,0.00364877043795881,0.00885922956204119
OMP,0,128,8,0.006799,0.00181134357744619,0.00567631761934988,0.00792168238065012
OMP,0,128,16,0.004724,0.000208070500872501,0.00459503656745677,0.00485296343254323
OMP,0,128,32,0.004673,0.000202487310987901,0.0045474970643991,0.0047985029356009
OMP,0,256,1,0.056867,0.00238116241454556,0.055391140245085,0.058342859754915
OMP,0,256,2,0.024399,0.000965843902731929,0.0238003637470235,0.0249976362529765
OMP,0,256,4,0.017294,0.00116156216650968,0.0165740563103501,0.0180139436896499
OMP,0,256,8,0.018129,0.00568878125983257,0.0146030568452556,0.0216549431547444
OMP,0,256,16,0.014181,0.00121964885657034,0.0134250538068531,0.0149369461931469
OMP,0,256,32,0.011348,0.000842348568652616,0.0108259069480979,0.0118700930519021
OMP,0,512,1,0.210512,0.00787165915025401,0.205633095111656,0.215390904888344
OMP,0,512,2,0.100415,0.00576860323937548,0.0968395826697666,0.103990417330233
OMP,0,512,4,0.079788,0.00874698906926136,0.0743665600070174,0.0852094399929826
OMP,0,512,8,0.067734,0.0057218357582549,0.0641875694548775,0.0712804305451225
OMP,0,512,16,0.05591,0.00223324875461736,0.0545258180813202,0.0572941819186798
OMP,0,512,32,0.050417,0.00173287205400617,0.0493429547734745,0.0514910452265255
OMP,0,1024,1,0.869073,0.0478087502567376,0.8394408295921,0.8987051704079
OMP,0,1024,2,0.355261,0.0169050100726251,0.344783166203274,0.365738833796726
OMP,0,1024,4,0.268671,0.0299841482008966,0.250086632405085,0.287255367594915
OMP,0,1024,8,0.209681,0.0370959960253275,0.186688663455533,0.232673336544467
OMP,0,1024,16,0.192355,0.0341839631828857,0.171167560110585,0.213542439889415
OMP,0,1024,32,0.189576,0.0251405286782562,0.173993738888002,0.205158261111998
OMP,0,2048,1,3.487298,0.136693849069127,3.40257427458203,3.57202172541797
OMP,0,2048,2,1.508344,0.0937187690439385,1.45025650514152,1.56643149485848
OMP,0,2048,4,1.056688,0.186220669505593,0.94126723324433,1.17210876675567
OMP,0,2048,8,0.668469,0.00764807085334453,0.663728676573829,0.673209323426172
OMP,0,2048,16,0.656113,0.0373822082012286,0.632943267311028,0.679282732688972
OMP,0,2048,32,0.616472,0.0192537775802856,0.604538385019666,0.628405614980334
OMP,0,4096,1,13.688675,0.434751568631762,13.4192131860514,13.9581368139486
OMP,0,4096,2,5.884425,0.11308322237774,5.81433529261846,5.95451470738154
OMP,0,4096,4,4.050553,0.341501942211819,3.83888790329893,4.26221809670107
OMP,0,4096,8,2.675973,0.0663276617424603,2.63486268933604,2.71708331066396
OMP,0,4096,16,2.510161,0.0614991299757791,2.47204344433093,2.54827855566907
OMP,0,4096,32,2.401655,0.0262275882103814,2.38539897240955,2.41791102759045
OMP,0,8192,1,53.839157,4.75173731082304,50.8939997019792,56.7843142980208
OMP,0,8192,2,23.687917,0.740789623398198,23.2287708345165,24.1470631654835
OMP,0,8192,4,16.610879,1.34833260464298,15.7751737934687,17.4465842065313
OMP,0,8192,8,12.612497,2.14298048000676,11.284263937572,13.940730062428
OMP,0,8192,16,10.193661,0.155642478238501,10.0971927925463,10.2901292074537
OMP,0,8192,32,10.316893,0.24943302601656,10.1622928087674,10.4714931912326
OMP,1,16,1,0.024081,0.0754094303637004,-0.0226582491730099,0.07082024917301
OMP,1,16,2,0.024835,0.0774424294054766,-0.0231643150337886,0.0728343150337887
OMP,1,16,4,0.024408,0.0759832134677712,-0.0226868836253999,0.0715028836253999
OMP,1,16,8,0.042215,0.0780357928204174,-0.00615208548858866,0.0905820854885887
OMP,1,16,16,0.026978,0.080779725289071,-0.0230897924525289,0.0770457924525289
OMP,1,16,32,0.02672,0.0742397310519554,-0.0192942620284914,0.0727342620284914
OMP,1,32,1,0.000702,0.0000198885785202351,0.000689672931320779,0.000714327068679221
OMP,1,32,2,0.000619,0.0000341402336775183,0.000597839663938816,0.000640160336061184
OMP,1,32,4,0.000587,0.0000391719854544602,0.000562720951876612,0.000611279048123388
OMP,1,32,8,0.001754,0.00206551688446258,0.000473779371514426,0.00303422062848557
OMP,1,32,16,0.001757,0.000329108222659693,0.00155301661026228,0.00196098338973772
OMP,1,32,32,0.002482,0.000406715844021078,0.00222991490819346,0.00273408509180654
OMP,1,64,1,0.00266,0.0000679869268479038,0.00261786126616889,0.00270213873383111
OMP,1,64,2,0.001849,0.0000756380268853645,0.00180211906523495,0.00189588093476505
OMP,1,64,4,0.00124,0.0000666666666666667,0.00119867957190713,0.00128132042809287
OMP,1,64,8,0.002032,0.00143781315429602,0.001140834174204,0.002923165825796
OMP,1,64,16,0.002306,0.000530035638214807,0.00197748050786732,0.00263451949213268
OMP,1,64,32,0.00273,0.000267498701969852,0.00256420258680479,0.00289579741319521
OMP,1,128,1,0.009159,0.000312248120713141,0.0089654666097141,0.0093525333902859
OMP,1,128,2,0.006601,0.000386277102608995,0.00636158297136586,0.00684041702863414
OMP,1,128,4,0.003958,0.000322621208919135,0.00375803730303435,0.00415796269696565
OMP,1,128,8,0.006804,0.00430763198675715,0.00413410203361002,0.00947389796638998
OMP,1,128,16,0.004194,0.000397888873374911,0.0039473859212814,0.0044406140787186
OMP,1,128,32,0.004595,0.000163927490745824,0.0044933966885929,0.0046966033114071
OMP,1,256,1,0.035993,0.00330157891520607,0.0339466601876195,0.0380393398123805
OMP,1,256,2,0.025308,0.00107121737601043,0.024644052591641,0.025971947408359
OMP,1,256,4,0.016216,0.00175268809420146,0.0151296726645149,0.0173023273354851
OMP,1,256,8,0.019338,0.00375537777356982,0.0170103927411849,0.0216656072588151
OMP,1,256,16,0.012657,0.00102703510704898,0.012020437045655,0.013293562954345
OMP,1,256,32,0.011575,0.000438260450214507,0.0113033633587145,0.0118466366412855
OMP,1,512,1,0.157712,0.0197906828808126,0.14544560766672,0.16997839233328
OMP,1,512,2,0.102067,0.00147036692321641,0.101155657139187,0.102978342860813
OMP,1,512,4,0.069734,0.0036504800293173,0.0674714090366622,0.0719965909633378
OMP,1,512,8,0.06284,0.00787408971811275,0.0579595886300891,0.0677204113699109
OMP,1,512,16,0.05041,0.0020337759081188,0.0491494526324736,0.0516705473675264
OMP,1,512,32,0.047588,0.00415534943041964,0.0450124877398942,0.0501635122601059
OMP,1,1024,1,0.508448,0.0040998287227097,0.505906899831053,0.510989100168947
OMP,1,1024,2,0.328566,0.0163756826490447,0.318416246739428,0.338715753260572
OMP,1,1024,4,0.237536,0.0237729777501917,0.222801355734798,0.252270644265202
OMP,1,1024,8,0.197797,0.0351064179159437,0.176037816743592,0.219556183256408
OMP,1,1024,16,0.191573,0.0266675825051066,0.175044261120307,0.208101738879693
OMP,1,1024,32,0.191048,0.0271673643264201,0.174209493138162,0.207886506861838
OMP,1,2048,1,2.160438,0.299999608029374,1.97449631652801,2.34637968347199
OMP,1,2048,2,1.265124,0.00685657381236757,1.26087425152234,1.26937374847766
OMP,1,2048,4,0.870803,0.00615048877913142,0.866990887559989,0.874615112440011
OMP,1,2048,8,0.623553,0.0143282053229906,0.614672286333773,0.632433713666227
OMP,1,2048,16,0.607916,0.0434684913216203,0.580973949950594,0.634858050049406
OMP,1,2048,32,0.603153,0.0144241064040569,0.59421284622791,0.61209315377209
OMP,1,4096,1,8.017989,0.0470452629449085,7.98883004393062,8.04714795606938
OMP,1,4096,2,5.37195,0.420412069442985,5.11137589972812,5.63252410027188
OMP,1,4096,4,3.459519,0.0466862850310452,3.43058254074677,3.48845545925323
OMP,1,4096,8,2.465998,0.0760488154338311,2.41886245585478,2.51313354414522
OMP,1,4096,16,2.322648,0.0555132572354468,2.28824052669303,2.35705547330697
OMP,1,4096,32,2.331644,0.0485421929184636,2.30155723712064,2.36173076287936
OMP,1,8192,1,32.444567,0.11722352172476,32.3719111084967,32.5172228915033
OMP,1,8192,2,20.522693,0.294046700261106,20.3404409669887,20.7049450330113
OMP,1,8192,4,14.110892,0.113491567263828,14.0405491978359,14.1812348021641
OMP,1,8192,8,10.090212,0.257552300224849,9.9305794304761,10.2498445695239
OMP,1,8192,16,9.858704,0.896072273526094,9.3033126508363,10.4140953491637
OMP,1,8192,32,9.494015,0.0824251923800534,9.44292733647829,9.54510266352171
OMP,2,16,1,0.025111,0.0786033324781251,-0.023607850212831,0.073829850212831
OMP,2,16,2,0.027132,0.0691628935195745,-0.0157356055255527,0.0699996055255527
OMP,2,16,4,0.021216,0.065910306427245,-0.0196356311595869,0.0620676311595869
OMP,2,16,8,0.036747,0.0757022942628998,-0.0101737680983279,0.0836677680983279
OMP,2,16,16,0.024249,0.0731052458142065,-0.0210621007931591,0.0695601007931591
OMP,2,16,32,0.026813,0.0746664258999095,-0.0194657302352287,0.0730917302352287
OMP,2,32,1,0.000761,0.0000137032031940629,0.000752506666666667,0.000769493333333333
OMP,2,32,2,0.001204,0.00225920930120843,-0.00019627243215978,0.00260427243215978
OMP,2,32,4,0.000601,0.0000338132124077754,0.000580042353821735,0.000621957646178265
OMP,2,32,8,0.000614,0.0000531664054330051,0.00058104712051024,0.00064695287948976
OMP,2,32,16,0.001247,0.000199390738668241,0.00112341633980713,0.00137058366019287
OMP,2,32,32,0.002108,0.000319715150998162,0.00190983849639471,0.00230616150360529
OMP,2,64,1,0.002681,0.0000981438853022555,0.0026201697896692,0.0027418302103308
OMP,2,64,2,0.001503,0.000111858044959771,0.00143366966544947,0.00157233033455053
OMP,2,64,4,0.001195,0.0000609644705272397,0.00115721382969039,0.00123278617030961
OMP,2,64,8,0.001443,0.000604888419462631,0.0010680862733908,0.0018179137266092
OMP,2,64,16,0.001691,0.000095271541746036,0.0016319500866498,0.0017500499133502
OMP,2,64,32,0.002412,0.0000801110340575991,0.00236234666666667,0.00246165333333333
OMP,2,128,1,0.009817,0.000318958374156322,0.00961930755154084,0.0100146924484592
OMP,2,128,2,0.005916,0.000181426446681722,0.00580355072333615,0.00602844927666385
OMP,2,128,4,0.003985,0.00022520361157554,0.00384541735542458,0.00412458264457541
OMP,2,128,8,0.002518,0.000296453106653387,0.00233425646085433,0.00270174353914567
OMP,2,128,16,0.003833,0.000240094888649374,0.00368418764627148,0.00398181235372852
OMP,2,128,32,0.004419,0.000120503573022177,0.00434431111164006,0.00449368888835995
OMP,2,256,1,0.042517,0.00393957992684499,0.0400752230637505,0.0449587769362495
OMP,2,256,2,0.023354,0.000585874465127888,0.0229908712443835,0.0237171287556165
OMP,2,256,4,0.015333,0.000783539689131601,0.01484735706926,0.01581864293074
OMP,2,256,8,0.009325,0.00041161605626819,0.00906987772517651,0.00958012227482349
OMP,2,256,16,0.008967,0.000616045633230382,0.00858517096065269,0.00934882903934731
OMP,2,256,32,0.009625,0.000448881325568846,0.00934678047196903,0.00990321952803098
OMP,2,512,1,0.16169,0.0233392397286439,0.147224189345756,0.176155810654244
OMP,2,512,2,0.090921,0.0030127154602525,0.0890536996119055,0.0927883003880945
OMP,2,512,4,0.071891,0.00302445752711678,0.0700164218034626,0.0737655781965374
OMP,2,512,8,0.052797,0.0127891664657588,0.0448701925002587,0.0607238074997413
OMP,2,512,16,0.037766,0.00508733765779749,0.0346128354519027,0.0409191645480973
OMP,2,512,32,0.040769,0.00518939827383141,0.0375525776267135,0.0439854223732865
OMP,2,1024,1,0.550263,0.0154494171411093,0.540687352049161,0.559838647950839
OMP,2,1024,2,0.336484,0.00749679072077588,0.331837440971424,0.341130559028576
OMP,2,1024,4,0.241166,0.0210576416322225,0.228114338496956,0.254217661503044
OMP,2,1024,8,0.190365,0.0374788928005558,0.167135341575516,0.213594658424484
OMP,2,1024,16,0.167895,0.0208839695300806,0.15495098158108,0.18083901841892
OMP,2,1024,32,0.160068,0.0227448640356455,0.145970587216996,0.174165412783004
OMP,2,2048,1,2.16437,0.00950938016440173,2.15847602511064,2.17026397488936
OMP,2,2048,2,1.339828,0.0335254088714813,1.31904873630163,1.36060726369837
OMP,2,2048,4,0.908971,0.0248863485335502,0.893546281373881,0.924395718626119
OMP,2,2048,8,0.619842,0.0400435456860542,0.59502275324844,0.64466124675156
OMP,2,2048,16,0.62336,0.0921232970896432,0.566261388903944,0.680458611096056
OMP,2,2048,32,0.521409,0.0111194658644699,0.514517083654741,0.528300916345259
OMP,2,4096,1,10.083884,1.84983194051183,8.93734628477289,11.2304217152271
OMP,2,4096,2,5.415449,0.0238989392837609,5.40063628396744,5.43026171603256
OMP,2,4096,4,3.519065,0.0571223070359654,3.48366022729433,3.55446977270567
OMP,2,4096,8,2.362426,0.0667467424423595,2.32105594042716,2.40379605957284
OMP,2,4096,16,2.124338,0.0600432473398226,2.08712280973749,2.16155319026251
OMP,2,4096,32,2.058832,0.0410341358708412,2.03339877909094,2.08426522090906
OMP,2,8192,1,34.406673,0.400694110015498,34.158320217598,34.655025782402
OMP,2,8192,2,22.031225,0.202009141941095,21.9060184366448,22.1564315633552
OMP,2,8192,4,14.329993,0.220905604880858,14.1930742875731,14.4669117124269
OMP,2,8192,8,9.927946,1.08201755737655,9.25730456987804,10.598587430122
OMP,2,8192,16,8.675751,0.199223446826812,8.5522710283647,8.79923097163531
OMP,2,8192,32,8.510881,0.157441115937921,8.4132979853504,8.6084640146496
OMP,3,16,1,0.025332,0.0798186992571986,-0.0241401423468485,0.0748041423468485
OMP,3,16,2,0.02428,0.0762144194580877,-0.0229581865828625,0.0715181865828625
OMP,3,16,4,0.019563,0.0612522645477065,-0.0184015468915314,0.0575275468915314
OMP,3,16,8,0.033538,0.0840015457265189,-0.0185266974482343,0.0856026974482343
OMP,3,16,16,0.025274,0.0765645222744262,-0.0221811825565769,0.0727291825565769
OMP,3,16,32,0.027601,0.0815868001919156,-0.0229670226598571,0.0781690226598571
OMP,3,32,1,0.000181,0.0000251440295541948,0.000165415569022615,0.000196584430977385
OMP,3,32,2,0.00023,0.00000816496580927726,0.000224939301760956,0.000235060698239044
OMP,3,32,4,0.000279,0.000013703203194063,0.000270506666666667,0.000287493333333333
OMP,3,32,8,0.000345,0.0000850163382990457,0.000292306327598932,0.000397693672401068
OMP,3,32,16,0.000936,0.0000611373680965887,0.000898106666666667,0.000973893333333334
OMP,3,32,32,0.001681,0.0002433310502176,0.00153018185255083,0.00183181814744917
OMP,3,64,1,0.000486,0.0000337309617084627,0.000465093333333333,0.000506906666666667
OMP,3,64,2,0.000542,0.0000436653943835008,0.000514935908168448,0.000569064091831552
OMP,3,64,4,0.000545,0.0000812745689349107,0.000494625500278194,0.000595374499721806
OMP,3,64,8,0.000815,0.000750262916879439,0.000349982226385079,0.00128001777361492
OMP,3,64,16,0.001041,0.000065565912552857,0.00100036182637525,0.00108163817362475
OMP,3,64,32,0.001828,0.000141012213813004,0.00174059972438386,0.00191540027561614
OMP,3,128,1,0.001708,0.0000781451640644939,0.00165956512551202,0.00175643487448798
OMP,3,128,2,0.001446,0.0000852708104283705,0.00139314860413911,0.00149885139586089
OMP,3,128,4,0.001532,0.000147933919181655,0.00144030960694938,0.00162369039305062
OMP,3,128,8,0.001506,0.000214123536513128,0.00137328485709778,0.00163871514290222
OMP,3,128,16,0.001866,0.000318928762509052,0.00166832590502997,0.00206367409497003
OMP,3,128,32,0.002379,0.000116184718826913,0.00230698796520334,0.00245101203479666
OMP,3,256,1,0.006263,0.000323042824818423,0.00606277598279261,0.00646322401720739
OMP,3,256,2,0.005307,0.000445621912487356,0.00503080067712691,0.0055831993228731
OMP,3,256,4,0.005091,0.000171687700976706,0.00498458686046044,0.00519741313953956
OMP,3,256,8,0.006095,0.00145005938575709,0.00519624388130656,0.00699375611869344
OMP,3,256,16,0.004746,0.000321116109149877,0.00454697017353617,0.00494502982646383
OMP,3,256,32,0.005118,0.000465660820769796,0.00482938043309574,0.00540661956690426
OMP,3,512,1,0.029388,0.00182381651123864,0.0282575868148917,0.0305184131851083
OMP,3,512,2,0.020469,0.000696793449388778,0.0200371229456843,0.0209008770543157
OMP,3,512,4,0.019126,0.000580233669404931,0.0187663674457944,0.0194856325542056
OMP,3,512,8,0.027499,0.00444830167342299,0.0247419140585192,0.0302560859414808
OMP,3,512,16,0.017621,0.00130027732084779,0.0168150797669468,0.0184269202330531
OMP,3,512,32,0.015906,0.000732912000174647,0.0154517364359758,0.0163602635640242
OMP,3,1024,1,0.116983,0.0204516595631966,0.104306930074587,0.129659069925413
OMP,3,1024,2,0.077608,0.00546934446610276,0.0742180651790992,0.0809979348209008
OMP,3,1024,4,0.091887,0.0093157227309533,0.0861130552314384,0.0976609447685616
OMP,3,1024,8,0.0972,0.00421519473650585,0.0945873952348917,0.0998126047651083
OMP,3,1024,16,0.075725,0.00284973780470336,0.0739587142093585,0.0774912857906415
OMP,3,1024,32,0.065827,0.00210465647764401,0.0645225204003299,0.0671314795996701
OMP,3,2048,1,0.382689,0.0204510523771598,0.370013306412392,0.395364693587608
OMP,3,2048,2,0.278848,0.0122482713519546,0.271256442765095,0.286439557234905
OMP,3,2048,4,0.293259,0.0297679318320161,0.274808644698927,0.311709355301073
OMP,3,2048,8,0.274259,0.0170864465130829,0.263668710732403,0.284849289267597
OMP,3,2048,16,0.233535,0.0221260933188748,0.219821105280621,0.247248894719379
OMP,3,2048,32,0.216311,0.0223797534739674,0.202439885087643,0.230182114912357
OMP,3,4096,1,1.590091,0.0606768188300387,1.55248311805944,1.62769888194056
OMP,3,4096,2,1.136633,0.0407571253620489,1.11137147198308,1.16189452801692
OMP,3,4096,4,1.137711,0.0843489733125952,1.08543096470295,1.18999103529705
OMP,3,4096,8,1.055469,0.0695821507204893,1.01234153616911,1.0985964638309
OMP,3,4096,16,0.893796,0.0117351411486091,0.886522484160139,0.901069515839861
OMP,3,4096,32,0.809478,0.015486052362619,0.79987964530362,0.819076354696379
OMP,3,8192,1,6.668066,0.0741773797805714,6.6220903836899,6.71404161631011
OMP,3,8192,2,4.998976,0.166920874215566,4.89551737029666,5.10243462970334
OMP,3,8192,4,4.81751,0.120988504504446,4.74252054799341,4.89249945200659
OMP,3,8192,8,4.385702,0.109358838366585,4.31792068974431,4.45348331025569
OMP,3,8192,16,3.864552,0.12378050751229,3.7878320466006,3.9412719533994
OMP,3,8192,32,3.546051,0.0924542715136035,3.48874724883066,3.60335475116934
PTH,0,16,1,0.000768,0.000226950802304523,0.000627334435391363,0.000908665564608637
PTH,0,16,2,0.000461,0.0000344641520681675,0.000439638897240285,0.000482361102759715
PTH,0,16,4,0.000558,0.0000524510353673892,0.000525490511470581,0.000590509488529419
PTH,0,16,8,0.007506,0.00761233823035559,0.00278782388301016,0.0122241761169898
PTH,0,16,16,0.008704,0.00834228745608781,0.00353339666561048,0.0138746033343895
PTH,0,16,32,0.001369,0.0000981438853022552,0.0013081697896692,0.0014298302103308
PTH,0,32,1,0.001317,0.00014000396819773,0.00123022464149054,0.00140377535850946
PTH,0,32,2,0.000774,0.0000518973345494095,0.000741833698793095,0.000806166301206905
PTH,0,32,4,0.000762,0.0000364539283053128,0.000739405621151367,0.000784594378848633
PTH,0,32,8,0.000805,0.0000645066749345454,0.000765018348652858,0.000844981651347142
PTH,0,32,16,0.001065,0.00018780900463562,0.000948594772931415,0.00118140522706859
PTH,0,32,32,0.001292,0.0000948449026334866,0.00123321452031137,0.00135078547968863
PTH,0,64,1,0.003949,0.000294786174860506,0.00376628963588358,0.00413171036411642
PTH,0,64,2,0.002078,0.000117643529358822,0.00200508378506807,0.00215091621493193
PTH,0,64,4,0.001653,0.000105309068935206,0.00158772876284304,0.00171827123715696
PTH,0,64,8,0.001511,0.000219921703239029,0.00137469111612876,0.00164730888387124
PTH,0,64,16,0.001562,0.00011933147112141,0.00148803758792468,0.00163596241207532
PTH,0,64,32,0.001653,0.000104674097400774,0.00158812232227748,0.00171787767772252
PTH,0,128,1,0.015368,0.00117179634180461,0.0146417131027847,0.0160942868972153
